Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Pot-au-feu,"Noisettes, Huile végétale, Beurre, Sauce brune, Escargots, Poisson","Noisettes, Huile végétale, Beurre, Sauce brune, Escargots, Poisson","Fruits à coque, Lait, Poisson, Gluten, Mollusques"
Coquilles Saint-Jacques,"Pain, Lait, Pâtes alimentaires, Chocolat noir, Champignons","Pain, Lait, Pâtes alimentaires, Chocolat noir, Champignons","Gluten, Lait"
Pain doré,"Huile végétale, Noix de cajou, Vanille","Huile végétale, Noix de cajou, Vanille",Fruits à coque
Omelette au fromage,"Oeufs, Noisettes, Sauce soja","Oeufs, Noisettes, Sauce soja","Fruits à coque, Oeufs, Soja"
Pizza au fromage,"Noisettes, Beurre, Tomates, Farine de blé, Fromage en grains","Noisettes, Beurre, Tomates, Farine de blé, Fromage en grains","Fruits à coque, Gluten, Lait"
Pot-au-feu,"Oeufs, Pâtes alimentaires, Noisettes, Poulet","Oeufs, Pâtes alimentaires, Noisettes, Poulet","Fruits à coque, Oeufs, Gluten"
Coquilles Saint-Jacques,"Pain, Escargots, Oignons, Crevettes, Tomates","Pain, Escargots, Oignons, Crevettes, Tomates","Gluten, Mollusques, Crustacés"
Saucisses et purée,"Poisson, Sauce brune, Beurre","Poisson, Sauce brune, Beurre","Gluten, Lait, Poisson"
Pizza au fromage,"Crevettes, Champignons, Crème fraîche","Crevettes, Champignons, Crème fraîche","Lait, Crustacés"
Poutine classique,"Sésame, Pommes de terre, Poulet","Sésame, Pommes de terre, Poulet",Graines de sésame
Soupe aux pois,"Noisettes, Noix de cajou, Sésame, Pâtes alimentaires, Pain","Noisettes, Noix de cajou, Sésame, Pâtes alimentaires, Pain","Fruits à coque, Gluten, Graines de sésame"
Tourtière,"Champignons, Poivrons, Sésame","Champignons, Poivrons, Sésame",Graines de sésame
Magret de canard,"Pommes de terre, Champignons, Chocolat noir, Lait, Oeufs, Sésame","Pommes de terre, Champignons, Chocolat noir, Lait, Oeufs, Sésame","Oeufs, Graines de sésame, Lait"
Poulet rôti,"Crevettes, Beurre, Poisson","Crevettes, Beurre, Poisson","Poisson, Lait, Crustacés"
Profiteroles,"Pâtes alimentaires, Oignons, Crème fraîche, Pain, Lait, Tomates","Pâtes alimentaires, Oignons, Crème fraîche, Pain, Lait, Tomates","Gluten, Lait"
Coquilles Saint-Jacques,"Champignons, Crème fraîche, Lait, Sauce soja","Champignons, Crème fraîche, Lait, Sauce soja","Lait, Soja"
Soupe aux pois,"Pâtes alimentaires, Champignons, Lait","Pâtes alimentaires, Champignons, Lait","Gluten, Lait"
Pot-au-feu,"Farine de blé, Pommes de terre, Poisson, Céleri, Noisettes","Farine de blé, Pommes de terre, Poisson, Céleri, Noisettes","Fruits à coque, Gluten, Céleri, Poisson"
Poulet à la crème,"Huile végétale, Escargots, Chocolat noir, Boeuf haché","Huile végétale, Escargots, Chocolat noir, Boeuf haché",Mollusques
Pizza au fromage,"Poivrons, Sauce soja, Poisson, Moutarde","Poivrons, Sauce soja, Poisson, Moutarde","Moutarde, Poisson, Soja"
Macarons,"Noisettes, Chocolat noir, Pain, Champignons, Noix de cajou","Noisettes, Chocolat noir, Pain, Champignons, Noix de cajou","Fruits à coque, Gluten"
Moules-frites,"Oignons, Poulet, Huile végétale, Vanille, Chocolat noir, Crevettes","Oignons, Poulet, Huile végétale, Vanille, Chocolat noir, Crevettes",Crustacés
Croque-monsieur,"Pommes de terre, Beurre, Pain, Vanille, Moutarde","Pommes de terre, Beurre, Pain, Vanille, Moutarde","Moutarde, Gluten, Lait"
Soupe à l'oignon,"Sauce soja, Lait, Pain, Vanille, Oignons, Tomates","Sauce soja, Lait, Pain, Vanille, Oignons, Tomates","Gluten, Lait, Soja"
Magret de canard,"Tomates, Sésame, Oeufs, Beurre","Tomates, Sésame, Oeufs, Beurre","Oeufs, Graines de sésame, Lait"
Hamburger steak,"Céleri, Poivrons, Pommes de terre, Poisson, Arachides, Champignons","Céleri, Poivrons, Pommes de terre, Poisson, Arachides, Champignons","Arachides, Céleri, Poisson"
Boeuf stroganoff,"Pommes de terre, Oeufs, Céleri, Vanille","Pommes de terre, Oeufs, Céleri, Vanille","Oeufs, Céleri"
Croque-monsieur,"Pommes de terre, Vanille, Noix de cajou, Pain, Sauce brune","Pommes de terre, Vanille, Noix de cajou, Pain, Sauce brune","Fruits à coque, Gluten"
Poutine classique,"Crème fraîche, Oignons, Noisettes, Moutarde, Poivrons, Tomates","Crème fraîche, Oignons, Noisettes, Moutarde, Poivrons, Tomates","Fruits à coque, Moutarde, Lait"
Rôti de porc,"Tomates, Pommes de terre, Farine de blé","Tomates, Pommes de terre, Farine de blé",Gluten
Pâté chinois,"Sésame, Poulet, Vanille, Pommes de terre, Sauce soja","Sésame, Poulet, Vanille, Pommes de terre, Sauce soja","Graines de sésame, Soja"
Ratatouille,"Noisettes, Huile végétale, Sésame, Céleri, Escargots","Noisettes, Huile végétale, Sésame, Céleri, Escargots","Fruits à coque, Graines de sésame, Mollusques, Céleri"
Lasagne bolognaise,"Boeuf haché, Noisettes, Arachides, Oeufs, Champignons, Sauce brune","Boeuf haché, Noisettes, Arachides, Oeufs, Champignons, Sauce brune","Fruits à coque, Oeufs, Arachides, Gluten"
Macarons,"Poivrons, Sauce brune, Oeufs, Sauce soja, Huile végétale, Champignons","Poivrons, Sauce brune, Oeufs, Sauce soja, Huile végétale, Champignons","Gluten, Oeufs, Soja"
Profiteroles,"Pain, Farine de blé, Carottes, Poivrons, Noix de cajou, Vanille","Pain, Farine de blé, Carottes, Poivrons, Noix de cajou, Vanille","Fruits à coque, Gluten"
Quiche lorraine,"Crevettes, Poulet, Arachides","Crevettes, Poulet, Arachides","Arachides, Crustacés"
Filet de saumon,"Crème fraîche, Noisettes, Sauce brune, Pommes de terre, Champignons, Sauce soja","Crème fraîche, Noisettes, Sauce brune, Pommes de terre, Champignons, Sauce soja","Fruits à coque, Gluten, Lait, Soja"
Poulet rôti,"Carottes, Sésame, Boeuf haché, Chocolat noir, Poulet","Carottes, Sésame, Boeuf haché, Chocolat noir, Poulet",Graines de sésame
Macarons,"Huile végétale, Moutarde, Chocolat noir, Fromage en grains, Beurre","Huile végétale, Moutarde, Chocolat noir, Fromage en grains, Beurre","Moutarde, Lait"
Gâteau au chocolat,"Boeuf haché, Oignons, Sésame","Boeuf haché, Oignons, Sésame",Graines de sésame
Fondue au fromage,"Poivrons, Céleri, Farine de blé","Poivrons, Céleri, Farine de blé","Gluten, Céleri"
Tarte au sucre,"Oeufs, Vanille, Champignons, Farine de blé","Oeufs, Vanille, Champignons, Farine de blé","Oeufs, Gluten"
Lasagne bolognaise,"Beurre, Vanille, Sauce brune, Pain","Beurre, Vanille, Sauce brune, Pain","Gluten, Lait"
Quiche lorraine,"Oeufs, Lait, Poulet","Oeufs, Lait, Poulet","Oeufs, Lait"
Raclette,"Vanille, Moutarde, Oignons, Poisson, Huile végétale","Vanille, Moutarde, Oignons, Poisson, Huile végétale","Moutarde, Poisson"
Pain doré,"Lait, Sauce brune, Chocolat noir, Pain, Sésame, Champignons","Lait, Sauce brune, Chocolat noir, Pain, Sésame, Champignons","Gluten, Graines de sésame, Lait"
Éclair au café,"Oeufs, Boeuf haché, Oignons, Moutarde","Oeufs, Boeuf haché, Oignons, Moutarde","Moutarde, Oeufs"
Poulet rôti,"Beurre, Oeufs, Lait, Arachides","Beurre, Oeufs, Lait, Arachides","Oeufs, Arachides, Lait"
Fèves au lard,"Crème fraîche, Boeuf haché, Lait, Chocolat noir","Crème fraîche, Boeuf haché, Lait, Chocolat noir",Lait
Poutine classique,"Crème fraîche, Boeuf haché, Escargots, Céleri, Pommes de terre, Pain","Crème fraîche, Boeuf haché, Escargots, Céleri, Pommes de terre, Pain","Gluten, Lait, Mollusques, Céleri"
Ratatouille,"Céleri, Vanille, Pommes de terre, Oeufs","Céleri, Vanille, Pommes de terre, Oeufs","Oeufs, Céleri"
Pizza au fromage,"Oeufs, Chocolat noir, Poisson, Tomates","Oeufs, Chocolat noir, Poisson, Tomates","Oeufs, Poisson"
Poutine classique,"Poisson, Céleri, Oeufs","Poisson, Céleri, Oeufs","Oeufs, Céleri, Poisson"
Boeuf bourguignon,"Sauce soja, Vanille, Poisson","Sauce soja, Vanille, Poisson","Poisson, Soja"
Croque-monsieur,"Arachides, Crème fraîche, Sésame","Arachides, Crème fraîche, Sésame","Arachides, Lait, Graines de sésame"
Soupe aux pois,"Noisettes, Huile végétale, Chocolat noir, Tomates, Sauce soja, Oeufs","Noisettes, Huile végétale, Chocolat noir, Tomates, Sauce soja, Oeufs","Fruits à coque, Oeufs, Soja"
Pâté chinois,"Tomates, Poisson, Champignons","Tomates, Poisson, Champignons",Poisson
Lasagne bolognaise,"Farine de blé, Poivrons, Moutarde, Poulet, Crème fraîche, Tomates","Farine de blé, Poivrons, Moutarde, Poulet, Crème fraîche, Tomates","Moutarde, Gluten, Lait"
Filet de saumon,"Sauce soja, Tomates, Fromage en grains, Oignons, Pain, Arachides","Sauce soja, Tomates, Fromage en grains, Oignons, Pain, Arachides","Gluten, Arachides, Lait, Soja"
Pot-au-feu,"Boeuf haché, Arachides, Poisson, Beurre","Boeuf haché, Arachides, Poisson, Beurre","Arachides, Lait, Poisson"
Filet de saumon,"Vanille, Céleri, Oignons, Pommes de terre","Vanille, Céleri, Oignons, Pommes de terre",Céleri
Pâté chinois,"Boeuf haché, Poulet, Sésame, Huile végétale, Poisson","Boeuf haché, Poulet, Sésame, Huile végétale, Poisson","Graines de sésame, Poisson"
Crème brûlée,"Poulet, Lait, Tomates, Oignons","Poulet, Lait, Tomates, Oignons",Lait
Croque-monsieur,"Beurre, Poisson, Pâtes alimentaires, Vanille, Sésame, Céleri","Beurre, Poisson, Pâtes alimentaires, Vanille, Sésame, Céleri","Graines de sésame, Céleri, Lait, Poisson, Gluten"
Spaghetti carbonara,"Noisettes, Champignons, Huile végétale, Poisson","Noisettes, Champignons, Huile végétale, Poisson","Fruits à coque, Poisson"
Magret de canard,"Arachides, Poulet, Champignons, Pommes de terre, Moutarde","Arachides, Poulet, Champignons, Pommes de terre, Moutarde","Moutarde, Arachides"
Filet de saumon,"Fromage en grains, Poulet, Carottes, Escargots","Fromage en grains, Poulet, Carottes, Escargots","Lait, Mollusques"
Omelette au fromage,"Pommes de terre, Carottes, Pain","Pommes de terre, Carottes, Pain",Gluten
Soupe aux pois,"Arachides, Tomates, Carottes, Crème fraîche","Arachides, Tomates, Carottes, Crème fraîche","Arachides, Lait"
Lasagne bolognaise,"Tomates, Huile végétale, Fromage en grains","Tomates, Huile végétale, Fromage en grains",Lait
Rôti de porc,"Poivrons, Tomates, Oeufs, Crevettes, Beurre","Poivrons, Tomates, Oeufs, Crevettes, Beurre","Oeufs, Lait, Crustacés"
Ratatouille,"Vanille, Poulet, Moutarde, Oeufs, Crème fraîche, Champignons","Vanille, Poulet, Moutarde, Oeufs, Crème fraîche, Champignons","Moutarde, Oeufs, Lait"
Pot-au-feu,"Sauce soja, Poisson, Huile végétale","Sauce soja, Poisson, Huile végétale","Poisson, Soja"
Omelette au fromage,"Oignons, Carottes, Pain","Oignons, Carottes, Pain",Gluten
Salade niçoise,"Crevettes, Noisettes, Arachides, Vanille, Sésame, Poivrons","Crevettes, Noisettes, Arachides, Vanille, Sésame, Poivrons","Fruits à coque, Arachides, Graines de sésame, Crustacés"
Profiteroles,"Tomates, Lait, Sauce brune, Fromage en grains, Crème fraîche","Tomates, Lait, Sauce brune, Fromage en grains, Crème fraîche","Gluten, Lait"
Ratatouille,"Vanille, Noisettes, Céleri, Moutarde","Vanille, Noisettes, Céleri, Moutarde","Fruits à coque, Moutarde, Céleri"
Moules-frites,"Fromage en grains, Lait, Farine de blé, Boeuf haché","Fromage en grains, Lait, Farine de blé, Boeuf haché","Gluten, Lait"
Gâteau au chocolat,"Tomates, Arachides, Beurre, Noix de cajou, Pain","Tomates, Arachides, Beurre, Noix de cajou, Pain","Fruits à coque, Gluten, Arachides, Lait"
Boeuf stroganoff,"Boeuf haché, Crevettes, Céleri, Sésame, Beurre","Boeuf haché, Crevettes, Céleri, Sésame, Beurre","Graines de sésame, Lait, Céleri, Crustacés"
Chili con carne,"Pain, Sauce soja, Tomates, Céleri","Pain, Sauce soja, Tomates, Céleri","Gluten, Céleri, Soja"
Salade César,"Crevettes, Vanille, Champignons, Chocolat noir, Arachides, Oignons","Crevettes, Vanille, Champignons, Chocolat noir, Arachides, Oignons","Arachides, Crustacés"
Macarons,"Carottes, Boeuf haché, Lait, Pâtes alimentaires","Carottes, Boeuf haché, Lait, Pâtes alimentaires","Gluten, Lait"
Filet de saumon,"Noisettes, Escargots, Boeuf haché, Poulet, Moutarde","Noisettes, Escargots, Boeuf haché, Poulet, Moutarde","Fruits à coque, Moutarde, Mollusques"
Escargots à l'ail,"Crème fraîche, Pain, Pommes de terre, Carottes","Crème fraîche, Pain, Pommes de terre, Carottes","Gluten, Lait"
Boeuf bourguignon,"Crevettes, Arachides, Moutarde, Boeuf haché, Chocolat noir, Poivrons","Crevettes, Arachides, Moutarde, Boeuf haché, Chocolat noir, Poivrons","Moutarde, Arachides, Crustacés"
Chili con carne,"Chocolat noir, Sauce brune, Céleri, Boeuf haché","Chocolat noir, Sauce brune, Céleri, Boeuf haché","Gluten, Céleri"
Gâteau au chocolat,"Fromage en grains, Champignons, Lait, Sauce soja, Beurre","Fromage en grains, Champignons, Lait, Sauce soja, Beurre","Lait, Soja"
Fèves au lard,"Poisson, Tomates, Noisettes, Crème fraîche","Poisson, Tomates, Noisettes, Crème fraîche","Fruits à coque, Lait, Poisson"
Escargots à l'ail,"Farine de blé, Sésame, Pain, Tomates","Farine de blé, Sésame, Pain, Tomates","Gluten, Graines de sésame"
Soupe à l'oignon,"Beurre, Carottes, Escargots, Pain","Beurre, Carottes, Escargots, Pain","Gluten, Lait, Mollusques"
Magret de canard,"Beurre, Chocolat noir, Noisettes, Pain, Vanille, Crème fraîche","Beurre, Chocolat noir, Noisettes, Pain, Vanille, Crème fraîche","Fruits à coque, Gluten, Lait"
Spaghetti carbonara,"Pommes de terre, Poisson, Lait, Céleri","Pommes de terre, Poisson, Lait, Céleri","Lait, Céleri, Poisson"
Saucisses et purée,"Oignons, Poulet, Sésame, Moutarde, Escargots","Oignons, Poulet, Sésame, Moutarde, Escargots","Moutarde, Graines de sésame, Mollusques"
Raclette,"Fromage en grains, Pain, Sauce soja, Noisettes, Beurre","Fromage en grains, Pain, Sauce soja, Noisettes, Beurre","Fruits à coque, Gluten, Lait, Soja"
Moules-frites,"Tomates, Sauce brune, Noix de cajou, Oignons, Beurre","Tomates, Sauce brune, Noix de cajou, Oignons, Beurre","Fruits à coque, Gluten, Lait"
Pizza au fromage,"Crème fraîche, Moutarde, Arachides, Poulet","Crème fraîche, Moutarde, Arachides, Poulet","Moutarde, Arachides, Lait"
Hamburger steak,"Vanille, Moutarde, Pommes de terre, Poisson","Vanille, Moutarde, Pommes de terre, Poisson","Moutarde, Poisson"
Profiteroles,"Noix de cajou, Lait, Carottes, Céleri, Noisettes, Crevettes","Noix de cajou, Lait, Carottes, Céleri, Noisettes, Crevettes","Fruits à coque, Lait, Céleri, Crustacés"
Fèves au lard,"Huile végétale, Noix de cajou, Lait","Huile végétale, Noix de cajou, Lait","Fruits à coque, Lait"
Fèves au lard,"Pain, Crème fraîche, Oeufs, Farine de blé, Noisettes, Poulet","Pain, Crème fraîche, Oeufs, Farine de blé, Noisettes, Poulet","Fruits à coque, Gluten, Lait, Oeufs"
Fèves au lard,"Pain, Escargots, Tomates, Vanille, Boeuf haché, Carottes","Pain, Escargots, Tomates, Vanille, Boeuf haché, Carottes","Gluten, Mollusques"
Magret de canard,"Oignons, Sauce brune, Poulet","Oignons, Sauce brune, Poulet",Gluten
Éclair au café,"Moutarde, Pommes de terre, Poivrons, Sauce brune","Moutarde, Pommes de terre, Poivrons, Sauce brune","Moutarde, Gluten"
Fondue au fromage,"Sésame, Pommes de terre, Oeufs","Sésame, Pommes de terre, Oeufs","Oeufs, Graines de sésame"
Crème brûlée,"Champignons, Fromage en grains, Sésame, Lait, Céleri, Poulet","Champignons, Fromage en grains, Sésame, Lait, Céleri, Poulet","Graines de sésame, Lait, Céleri"
Cassoulet,"Vanille, Noisettes, Oeufs, Oignons, Escargots","Vanille, Noisettes, Oeufs, Oignons, Escargots","Fruits à coque, Oeufs, Mollusques"
Rôti de porc,"Sésame, Arachides, Carottes, Pain, Escargots, Sauce soja","Sésame, Arachides, Carottes, Pain, Escargots, Sauce soja","Graines de sésame, Soja, Arachides, Gluten, Mollusques"
Éclair au café,"Céleri, Noisettes, Pommes de terre, Huile végétale, Tomates","Céleri, Noisettes, Pommes de terre, Huile végétale, Tomates","Fruits à coque, Céleri"
Croque-monsieur,"Sésame, Carottes, Sauce soja, Céleri, Noisettes, Oignons","Sésame, Carottes, Sauce soja, Céleri, Noisettes, Oignons","Fruits à coque, Graines de sésame, Céleri, Soja"
Gâteau au chocolat,"Lait, Crevettes, Fromage en grains, Crème fraîche, Pâtes alimentaires","Lait, Crevettes, Fromage en grains, Crème fraîche, Pâtes alimentaires","Gluten, Lait, Crustacés"
Macarons,"Huile végétale, Lait, Carottes, Boeuf haché, Farine de blé, Vanille","Huile végétale, Lait, Carottes, Boeuf haché, Farine de blé, Vanille","Gluten, Lait"
Poutine classique,"Pâtes alimentaires, Noix de cajou, Oeufs, Poulet, Boeuf haché, Tomates","Pâtes alimentaires, Noix de cajou, Oeufs, Poulet, Boeuf haché, Tomates","Fruits à coque, Gluten, Oeufs"
Profiteroles,"Crème fraîche, Noisettes, Beurre, Noix de cajou, Pommes de terre, Sésame","Crème fraîche, Noisettes, Beurre, Noix de cajou, Pommes de terre, Sésame","Fruits à coque, Graines de sésame, Lait"
Raclette,"Tomates, Farine de blé, Pâtes alimentaires","Tomates, Farine de blé, Pâtes alimentaires",Gluten
Tourtière,"Carottes, Céleri, Champignons, Oeufs, Poulet","Carottes, Céleri, Champignons, Oeufs, Poulet","Oeufs, Céleri"
Fèves au lard,"Boeuf haché, Sésame, Pommes de terre, Oignons, Lait, Crevettes","Boeuf haché, Sésame, Pommes de terre, Oignons, Lait, Crevettes","Graines de sésame, Lait, Crustacés"
Moules-frites,"Huile végétale, Poivrons, Champignons, Carottes","Huile végétale, Poivrons, Champignons, Carottes",Aucun
Saucisses et purée,"Pâtes alimentaires, Crevettes, Fromage en grains","Pâtes alimentaires, Crevettes, Fromage en grains","Gluten, Lait, Crustacés"
Rôti de porc,"Sésame, Crème fraîche, Crevettes","Sésame, Crème fraîche, Crevettes","Graines de sésame, Lait, Crustacés"
Profiteroles,"Chocolat noir, Fromage en grains, Pommes de terre, Pâtes alimentaires, Noisettes","Chocolat noir, Fromage en grains, Pommes de terre, Pâtes alimentaires, Noisettes","Fruits à coque, Gluten, Lait"
Profiteroles,"Noix de cajou, Sauce brune, Crevettes, Poulet, Sauce soja","Noix de cajou, Sauce brune, Crevettes, Poulet, Sauce soja","Fruits à coque, Gluten, Soja, Crustacés"
Boeuf stroganoff,"Chocolat noir, Pain, Poisson","Chocolat noir, Pain, Poisson","Gluten, Poisson"
Tourtière,"Farine de blé, Beurre, Céleri, Chocolat noir, Huile végétale, Pommes de terre","Farine de blé, Beurre, Céleri, Chocolat noir, Huile végétale, Pommes de terre","Gluten, Lait, Céleri"
Boeuf bourguignon,"Poisson, Crème fraîche, Pâtes alimentaires, Sauce brune, Pain","Poisson, Crème fraîche, Pâtes alimentaires, Sauce brune, Pain","Gluten, Lait, Poisson"
Quiche lorraine,"Pain, Pâtes alimentaires, Tomates, Crème fraîche, Oignons, Oeufs","Pain, Pâtes alimentaires, Tomates, Crème fraîche, Oignons, Oeufs","Gluten, Lait, Oeufs"
Poulet à la crème,"Poivrons, Moutarde, Beurre, Poisson, Farine de blé, Huile végétale","Poivrons, Moutarde, Beurre, Poisson, Farine de blé, Huile végétale","Moutarde, Gluten, Lait, Poisson"
Pot-au-feu,"Oeufs, Beurre, Farine de blé, Carottes, Poivrons","Oeufs, Beurre, Farine de blé, Carottes, Poivrons","Oeufs, Gluten, Lait"
Rôti de porc,"Fromage en grains, Pommes de terre, Arachides, Céleri","Fromage en grains, Pommes de terre, Arachides, Céleri","Arachides, Lait, Céleri"
Soupe aux pois,"Sauce soja, Champignons, Crevettes, Fromage en grains, Sauce brune","Sauce soja, Champignons, Crevettes, Fromage en grains, Sauce brune","Gluten, Lait, Crustacés, Soja"
